task id resource start end time type
mProject 625 1536 620 17005 16385 sdbcs 
mProject 324 1536 554 17123 16569 sdbcs 
mProject 646 1536 614 16882 16268 sdbcs 
mProject 659 1536 677 17021 16344 sdbcs 
mProject 315 1536 588 16804 16216 sdbcs 
mProject 15 1536 532 16971 16439 sdbcs 
mProject 325 1536 568 16745 16177 sdbcs 
mProject 323 1536 530 17040 16510 sdbcs 
mProject 330 1536 524 17111 16587 sdbcs 
mProject 355 1536 625 17038 16413 sdbcs 
mProject 348 1536 600 17023 16423 sdbcs 
mProject 628 1536 637 17101 16464 sdbcs 
mProject 328 1536 586 17106 16520 sdbcs 
mProject 648 1536 671 16869 16198 sdbcs 
mProject 342 1536 592 16932 16340 sdbcs 
mProject 2 1536 440 16450 16010 sdbcs 
mProject 333 1536 561 16583 16022 sdbcs 
mProject 11 1536 501 16926 16425 sdbcs 
mProject 344 1536 553 16964 16411 sdbcs 
mProject 14 1536 457 16753 16296 sdbcs 
mProject 320 1536 541 17068 16527 sdbcs 
mProject 623 1536 594 16932 16338 sdbcs 
mProject 345 1536 603 16892 16289 sdbcs 
mProject 635 1536 622 16583 15961 sdbcs 
mProject 639 1536 643 16921 16278 sdbcs 
mProject 664 1536 662 17027 16365 sdbcs 
mProject 634 1536 646 16988 16342 sdbcs 
mProject 647 1536 669 16713 16044 sdbcs 
mProject 18 1536 578 17315 16737 sdbcs 
mProject 645 1536 659 17600 16941 sdbcs 
mProject 632 1536 635 17120 16485 sdbcs 
mProject 341 1536 621 17066 16445 sdbcs 
mProject 329 1536 557 17082 16525 sdbcs 
mProject 649 1536 617 16672 16055 sdbcs 
mProject 17 1536 513 16871 16358 sdbcs 
mProject 20 1536 460 17207 16747 sdbcs 
mProject 343 1536 605 16999 16394 sdbcs 
mProject 653 1536 676 17117 16441 sdbcs 
mProject 336 1536 534 17189 16655 sdbcs 
mProject 652 1536 622 17005 16383 sdbcs 
mProject 326 1536 562 16795 16233 sdbcs 
mProject 643 1536 677 17015 16338 sdbcs 
mProject 644 1536 653 16829 16176 sdbcs 
mProject 331 1536 564 16689 16125 sdbcs 
mProject 5 1536 465 17049 16584 sdbcs 
mProject 30 1536 566 16959 16393 sdbcs 
mProject 335 1536 597 16952 16355 sdbcs 
mProject 640 1536 620 16984 16364 sdbcs 
mProject 650 1536 672 16668 15996 sdbcs 
mProject 41 1536 512 16620 16108 sdbcs 
mProject 334 1536 575 16894 16319 sdbcs 
mProject 21 1536 446 16564 16118 sdbcs 
mProject 347 1536 586 16752 16166 sdbcs 
mProject 12 1536 420 16724 16304 sdbcs 
mProject 43 1536 564 16908 16344 sdbcs 
mProject 38 1536 522 17184 16662 sdbcs 
mProject 626 1536 617 16901 16284 sdbcs 
mProject 657 1536 669 16699 16030 sdbcs 
mProject 666 1536 679 17134 16455 sdbcs 
mProject 353 1536 566 17153 16587 sdbcs 
mProject 19 1536 568 17222 16654 sdbcs 
mProject 32 1536 528 16753 16225 sdbcs 
mProject 7 1536 505 16827 16322 sdbcs 
mProject 35 1536 545 16611 16066 sdbcs 
mProject 316 1536 543 16902 16359 sdbcs 
mProject 349 1536 596 16625 16029 sdbcs 
mProject 351 1536 573 16843 16270 sdbcs 
mProject 629 1536 603 16917 16314 sdbcs 
mProject 654 1536 663 17184 16521 sdbcs 
mProject 24 1536 472 16815 16343 sdbcs 
mProject 28 1536 511 16894 16383 sdbcs 
mProject 40 1536 539 16868 16329 sdbcs 
mProject 630 1536 633 17057 16424 sdbcs 
mProject 44 1536 569 16864 16295 sdbcs 
mProject 340 1536 616 17097 16481 sdbcs 
mProject 16 1536 500 16725 16225 sdbcs 
mProject 663 1536 645 17021 16376 sdbcs 
mProject 624 1536 606 17021 16415 sdbcs 
mProject 651 1536 655 16637 15982 sdbcs 
mProject 352 1536 635 17355 16720 sdbcs 
mProject 319 1536 576 16934 16358 sdbcs 
mProject 350 1536 567 16978 16411 sdbcs 
mProject 42 1536 540 16773 16233 sdbcs 
mProject 339 1536 603 17215 16612 sdbcs 
mProject 37 1536 580 17075 16495 sdbcs 
