type time price
128 4279482.172 0.22963164
192 2399265.627 0.22847552
256 1475231.204 0.22322496
320 931223.81 0.22118967
384 555949.985 0.21522186
448 473501.236 0.21442582
512 421902.394 0.21584724
576 368588.484 0.21695435
640 329541.738 0.2155398
704 300553.451 0.21485335
768 276407.083 0.21601062
832 255727.93 0.21644082
896 164994.393 0.07283115
960 154835.482 0.07309449
1024 145859.346 0.07312872
1088 137975.517 0.0733363
1152 130873.806 0.07228683
1216 77140.246 0.06940921
1280 74124.705 0.0700602
1344 71469.259 0.07069348
1408 69037.164 0.07025865
1472 66845.164 0.07051154
1536 64697.434 0.07036848
1600 62965.463 0.0707531
1664 61395.712 0.07183995
1728 59789.791 0.07262063
1792 58171.895 0.07125678
1856 57459.188 0.0735965
1920 57192.591 0.075474
1984 57556.895 0.07776404
2048 56489.661 0.08007888
2112 56273.706 0.08234454
2176 56199.2 0.08485533
2240 56166.865 0.0871625
2304 55999.801 0.08974854
2368 55818.781 0.09236805
2432 55725.876 0.09470664
2496 55577.096 0.09708842
2560 55511.032 0.0996954
2624 55451.663 0.10231509
2688 55423.585 0.10473309
2752 55381.975 0.10712603
2816 55407.68 0.10972962
2880 55429.53 0.11216608
2944 55472.272 0.11483325
3008 55461.438 0.11750778
sdbcs 73687 0.06783336
plan 64697.434 0.07036848
