task id resource start end time type
mProject 12 1536 498 16956 16458 sdbcs 
mProject 348 1536 517 16768 16251 sdbcs 
mProject 626 1536 522 16806 16284 sdbcs 
mProject 630 1536 1046 17450 16404 sdbcs 
mProject 6 1536 482 16734 16252 sdbcs 
mProject 33 1536 496 16951 16455 sdbcs 
mProject 43 1536 497 16297 15800 sdbcs 
mProject 642 1536 490 16781 16291 sdbcs 
mProject 337 1536 527 17268 16741 sdbcs 
mProject 637 1536 465 16720 16255 sdbcs 
mProject 40 1536 494 17360 16866 sdbcs 
mProject 315 1536 429 17375 16946 sdbcs 
mProject 15 1536 455 16887 16432 sdbcs 
mProject 325 1536 510 17126 16616 sdbcs 
mProject 7 1536 461 18130 17669 sdbcs 
mProject 21 1536 517 16463 15946 sdbcs 
mProject 347 1536 528 17615 17087 sdbcs 
mProject 662 1536 1067 17449 16382 sdbcs 
mProject 629 1536 1019 17396 16377 sdbcs 
mProject 316 1536 499 17235 16736 sdbcs 
mProject 328 1536 521 17551 17030 sdbcs 
mProject 650 1536 1051 17289 16238 sdbcs 
mProject 11 1536 486 17260 16774 sdbcs 
mProject 639 1536 528 16933 16405 sdbcs 
mProject 635 1536 523 17142 16619 sdbcs 
mProject 653 1536 1049 17415 16366 sdbcs 
mProject 42 1536 499 16767 16268 sdbcs 
mProject 336 1536 529 18125 17596 sdbcs 
mProject 354 1536 526 17372 16846 sdbcs 
mProject 18 1536 448 16885 16437 sdbcs 
mProject 643 1536 527 17174 16647 sdbcs 
mProject 36 1536 501 17037 16536 sdbcs 
mProject 326 1536 498 17149 16651 sdbcs 
mProject 332 1536 527 16751 16224 sdbcs 
mProject 340 1536 526 17152 16626 sdbcs 
mProject 646 1536 1104 18029 16925 sdbcs 
mProject 30 1536 463 16745 16282 sdbcs 
mProject 628 1536 1089 17745 16656 sdbcs 
mProject 661 1536 1076 17271 16195 sdbcs 
mProject 24 1536 462 16914 16452 sdbcs 
mProject 638 1536 524 17474 16950 sdbcs 
mProject 665 1536 1059 17479 16420 sdbcs 
mProject 5 1536 429 17126 16697 sdbcs 
mProject 317 1536 503 16873 16370 sdbcs 
mProject 324 1536 497 16766 16269 sdbcs 
mProject 22 1536 424 16796 16372 sdbcs 
mProject 647 1536 1028 17377 16349 sdbcs 
mProject 655 1536 1070 17700 16630 sdbcs 
mProject 313 1536 495 17338 16843 sdbcs 
mProject 334 1536 516 16748 16232 sdbcs 
mProject 648 1536 1060 17418 16358 sdbcs 
mProject 654 1536 1099 17896 16797 sdbcs 
mProject 14 1536 452 16757 16305 sdbcs 
mProject 330 1536 535 17150 16615 sdbcs 
mProject 345 1536 529 16945 16416 sdbcs 
mProject 652 1536 1096 17688 16592 sdbcs 
mProject 10 1536 406 16538 16132 sdbcs 
mProject 26 1536 505 16824 16319 sdbcs 
mProject 641 1536 528 16810 16282 sdbcs 
mProject 656 1536 1084 18168 17084 sdbcs 
mProject 666 1536 1114 17652 16538 sdbcs 
mProject 1 1536 404 17340 16936 sdbcs 
mProject 312 1536 499 16616 16117 sdbcs 
mProject 349 1536 531 16990 16459 sdbcs 
mProject 624 1536 526 16982 16456 sdbcs 
mProject 657 1536 1029 17080 16051 sdbcs 
mProject 331 1536 525 16662 16137 sdbcs 
mProject 660 1536 1044 17409 16365 sdbcs 
mProject 9 1536 456 16789 16333 sdbcs 
mProject 16 1536 484 16994 16510 sdbcs 
mProject 37 1536 499 16898 16399 sdbcs 
mProject 342 1536 537 17042 16505 sdbcs 
mProject 633 1536 517 17003 16486 sdbcs 
mProject 636 1536 520 16750 16230 sdbcs 
mProject 19 1536 458 16725 16267 sdbcs 
mProject 338 1536 522 16746 16224 sdbcs 
mProject 640 1536 1046 17451 16405 sdbcs 
mProject 651 1536 1070 17266 16196 sdbcs 
