task_id,task_count,all_tasks_count,task_type,min_size_in,max_size_in,avg_size_in,count_in,sum_in,min_size_out,max_size_out,avg_size_out,count_out,sum_out,exec_file_size
mDiffFit_8,423,619,1,277,4152960,3318967.4,5,16594837,262,262,262.0,1,262,746640
mProject_30,90,619,0,277,1539433,769855.0,2,1539710,4152960,4152960,4152960.0,2,8305920,5930728
mBackground_20,90,619,4,1706,4152960,2078184.0,4,8312736,4152960,4152960,4152960.0,2,8305920,5793368
mDiffFit_59,423,619,1,277,4144320,3315511.4,5,16577557,265,265,265.0,1,265,746640
mBackground_15,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_126,423,619,1,277,4152960,3322423.4,5,16612117,269,269,269.0,1,269,746640
mProject_44,90,619,0,277,1468347,734312.0,2,1468624,4161600,4161600,4161600.0,2,8323200,5930728
mProject_31,90,619,0,277,1465653,732965.0,2,1465930,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_210,423,619,1,277,4170240,3332791.4,5,16663957,263,263,263.0,1,263,746640
mDiffFit_319,423,619,1,277,4144320,3315511.4,5,16577557,260,260,260.0,1,260,746640
mBackground_86,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_87,423,619,1,277,4152960,3322423.4,5,16612117,272,272,272.0,1,272,746640
mDiffFit_183,423,619,1,277,4161600,3329335.4,5,16646677,265,265,265.0,1,265,746640
mDiffFit_182,423,619,1,277,4161600,3329335.4,5,16646677,263,263,263.0,1,263,746640
mDiffFit_376,423,619,1,277,4144320,3315511.4,5,16577557,267,267,267.0,1,267,746640
mProject_38,90,619,0,277,1472350,736313.5,2,1472627,4161600,4161600,4161600.0,2,8323200,5930728
mProject_54,90,619,0,277,1469047,734662.0,2,1469324,4161600,4161600,4161600.0,2,8323200,5930728
mDiffFit_355,423,619,1,277,4144320,3315511.4,5,16577557,268,268,268.0,1,268,746640
mDiffFit_202,423,619,1,277,4161600,3329335.4,5,16646677,267,267,267.0,1,267,746640
mBackground_38,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mDiffFit_406,423,619,1,277,4135680,3308599.4,5,16542997,267,267,267.0,1,267,746640
mDiffFit_139,423,619,1,277,4152960,3318967.4,5,16594837,268,268,268.0,1,268,746640
mDiffFit_421,423,619,1,277,4144320,3315511.4,5,16577557,261,261,261.0,1,261,746640
mDiffFit_316,423,619,1,277,4144320,3312055.4,5,16560277,265,265,265.0,1,265,746640
mProject_72,90,619,0,277,1417782,709029.5,2,1418059,4135680,4135680,4135680.0,2,8271360,5930728
mBackground_42,90,619,4,1706,4161600,2082504.0,4,8330016,4161600,4161600,4161600.0,2,8323200,5793368
mProject_59,90,619,0,277,1465849,733063.0,2,1466126,4161600,4161600,4161600.0,2,8323200,5930728
mBackground_63,90,619,4,1706,4144320,2073864.0,4,8295456,4144320,4144320,4144320.0,2,8288640,5793368
mDiffFit_256,423,619,1,277,4170240,3332791.4,5,16663957,261,261,261.0,1,261,746640
