type time price
128 4280656.626 0.22996743
192 2398519.128 0.2288496
256 1473470.756 0.22377012
320 931845.742 0.22179387
384 553481.149 0.21544488
448 473621.017 0.21404549
512 419990.527 0.21588924
576 373191.372 0.21714815
640 334062.861 0.21588
704 303320.052 0.21524665
768 277846.97 0.21631806
832 256882.23 0.21595584
896 164954.859 0.07361025
960 153937.371 0.07394543
1024 145115.541 0.0743736
1088 137258.306 0.07379096
1152 79445.98 0.07068978
1216 75953.785 0.07046988
1280 72405.124 0.0697515
1344 69720.612 0.07094763
1408 67231.84 0.07036953
1472 64875.177 0.07065432
1536 62873.333 0.07065324
1600 61297.1 0.07133212
1664 59760.802 0.07204743
1728 57972.895 0.07254988
1792 56967.53 0.07203588
1856 56504.284 0.07399605
1920 56307.366 0.0761292
1984 56698.363 0.07849428
2048 55635.25 0.08067696
2112 55533.348 0.0828497
2176 55501.765 0.08538726
2240 55486.91 0.08726893
2304 55496.494 0.0898317
2368 55411.734 0.09239528
2432 55301.992 0.09477048
2496 55168.625 0.09712523
2560 55032.854 0.0997248
2624 54894.571 0.10238405
2688 54809.344 0.10475073
2752 54718.202 0.10711701
2816 54701.232 0.10972038
2880 54736.035 0.1121708
2944 54686.505 0.11478012
3008 54598.461 0.11759176
sdbcs 64394 0.07016184
plan 62873.333 0.07065324
